workspace_id,client_name,created_at,total_forms,active_forms,inactive_forms,multi_step_forms,forms_with_payments,forms_with_esignature,forms_with_upload,submissions,billing_cycle,source_system,last_refresh_utc
ee2a3a35-6569-400d-a2a3-477c1744427b,elmbrookschools,2025-02-12T16:07:27.895587+00:00,42,6,36,7,42,1,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
ab4d83a4-9af0-43bd-8122-6fe47d3c228b,glastonbury,2025-02-12T16:11:54.719059+00:00,42,3,39,0,42,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
937fcbba-2306-4edb-ba8e-a118c878befe,lowellcatholic,2025-02-12T16:23:51.256876+00:00,41,0,41,0,41,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
71ae0679-6bf7-4830-a8af-352a51527725,schoolcraftschools,2025-02-12T16:41:57.162041+00:00,41,0,41,0,41,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
a32ee5d4-3c54-4a2b-82a6-e1fd1ffa694b,minnewashtapto,2025-02-12T16:27:20.926870+00:00,40,1,39,0,40,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
abcb97e8-70b0-4986-ab97-bf361fa6146b,wsdr4,2025-02-12T16:58:30.527335+00:00,40,0,40,0,40,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
14382178-b4a1-4e49-acd5-4223fb32a999,beckman,2025-02-10T16:07:02.550713+00:00,39,1,38,0,39,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
da2d1dbc-8c6c-4a51-8eeb-dd22f292aa4f,ucfsd,2025-02-12T16:50:33.074598+00:00,39,0,39,0,39,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
343a8a6e-d675-4e3e-a6e9-91ab53159f1b,iowa-city,2025-02-12T16:16:50.037989+00:00,38,0,38,0,38,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
528fb21a-9032-4d2e-bc1f-6f2cfe3ba3fc,minnetonka,2025-02-12T16:27:18.962781+00:00,37,5,32,17,33,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
596ddf4e-4e2e-4727-9abe-6aaccc706593,gracesystem,2025-02-12T16:12:34.015580+00:00,36,6,30,18,33,17,12,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
8655de6d-b579-41e7-accb-16faa4a8253a,tps501,2025-02-12T16:49:32.814930+00:00,36,0,36,0,36,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
d0e6ab25-a37b-4e07-b2b0-81056b2aafea,brighton27j,2025-02-12T15:54:10.862684+00:00,34,5,29,1,34,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
ac0ed77d-a2cd-44ae-8d8f-198c8032d16a,manor,2025-02-12T16:24:58.940814+00:00,34,4,30,1,33,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
09c8b428-597f-4e91-bde5-d88fd1190ae1,wsisd,2025-02-12T16:58:32.371714+00:00,34,0,34,0,34,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
9e5d6b43-a0c6-46ac-ab07-e6f2c98551f5,simsburyboe,2025-02-12T16:44:01.150431+00:00,33,13,20,0,33,0,0,2,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
7b247049-a17a-439e-9a88-5d6b0e0554d4,princetonisd,2025-02-12T16:37:04.378738+00:00,33,2,31,7,33,0,1,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
d500b823-ef98-47c9-8d8a-f077b8826771,soudertoncommed,2025-02-12T16:44:57.865255+00:00,32,1,31,0,32,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
b79fb2e9-c0cc-4a13-b4f6-69a2dedcc704,euclidschools,2025-02-12T16:08:16.997660+00:00,31,1,30,1,31,0,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
c60013cd-0da7-498c-8d85-84cffe5deb2b,fisd,2025-02-12T16:09:27.532252+00:00,31,0,31,2,31,5,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
fc6d04ee-1918-48fb-b10c-f56628027991,stmaryeg,2025-07-29T19:06:38.629384+00:00,31,5,26,3,22,0,5,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
ad3ba104-da27-4b49-8fc3-45b009025d63,adairsvilleelementary,2025-02-10T16:03:00.115238+00:00,30,0,30,0,30,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
0a935ae0-c6ec-4ec2-bc64-1047ade8ec62,campolindo,2025-02-12T15:55:49.743592+00:00,30,0,30,0,30,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
310728ae-d10d-4aec-8ef5-87b5b894a6e8,franklin,2025-02-12T16:10:07.444533+00:00,30,11,19,0,30,7,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
be516ec0-ac6f-4f67-b66f-747c17afa262,highlandparkisd,2025-09-04T19:00:55.601544+00:00,30,30,0,29,14,10,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
a30ad439-92b2-413c-9118-a067174068c3,libertyisd,2025-02-12T16:22:48.894054+00:00,30,2,28,1,30,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
392098be-27cc-417f-ab89-e8d99518cec1,needvilleisd,2025-02-12T16:30:16.369843+00:00,30,4,26,4,30,2,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
b84f067c-c888-4529-9024-d73fc3e98c93,rolandstory,2025-02-12T16:39:39.391887+00:00,30,1,29,0,30,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
4e989af1-fafd-4788-b6ed-dbd9b32b8515,ytech,2025-02-12T16:59:03.007142+00:00,30,5,25,0,30,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
582aba6e-01ab-4fe2-a233-01736af0ba3b,lgisd,2025-02-12T16:22:35.775420+00:00,29,3,26,0,29,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
bcf8176d-0617-4e96-a7cd-e6b803faa746,canutillo-isd,2025-02-12T15:56:05.462083+00:00,27,6,21,1,27,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
ab2bb8bb-5bef-4592-81de-c7055eed3565,carrolltonmiddle,2025-02-12T15:56:36.839562+00:00,27,2,25,0,27,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
d94c73e4-1871-4dc3-9c02-a3730cc2b436,greendale,2025-02-12T16:12:51.979237+00:00,27,0,27,0,27,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
a7d16ead-4008-4978-be45-b4438d5d0085,lowcountrymontessori,2025-07-09T17:45:28.457927+00:00,27,4,23,7,27,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
bf909129-6907-43fb-baa2-61d46a859726,ridgeviewdemo,2026-03-18T16:21:28.554418+00:00,27,20,7,14,27,7,4,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
22bad2ef-59bb-4ca3-beb4-253f55fe2c80,tag,2025-07-03T14:29:12.104014+00:00,27,15,12,13,27,9,9,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
24f5ac70-dcf5-4aa7-93b2-60735904123b,helenaschools,2025-02-12T16:14:26.389714+00:00,26,0,26,0,26,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
16335efd-d59a-4803-882e-4e160beb7826,cheltenham,2025-02-12T15:58:38.556879+00:00,25,1,24,0,25,0,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f909246d-b8cc-42d6-a3ba-d08f583b8f83,hopkinsmn,2025-02-12T16:15:36.164950+00:00,25,21,4,2,25,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f5a01ec2-f5d6-4e25-8808-8e7b2b1995d7,nburlington,2025-02-12T16:30:05.234753+00:00,25,10,15,4,24,0,2,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
2feb3ca5-a62c-415c-b048-ebe8ba4c9077,gips,2025-02-12T16:11:44.865457+00:00,24,2,22,0,24,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
0a3fbea0-6814-4317-88e8-177547762a8e,pineisland,2025-02-12T16:35:54.402165+00:00,24,3,21,0,24,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
85d8c58b-52ed-4564-91f7-dd059e5753bb,tonkatrack,2025-02-12T16:49:25.220539+00:00,24,1,23,1,24,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
ad2938a6-34ff-40a1-aaac-ff4d4226e09c,troupisd,2025-02-12T16:49:58.104812+00:00,24,12,12,0,24,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
47a280d1-af9c-416d-adf0-d864e85949ff,kenilworth38,2025-02-12T16:19:06.506289+00:00,22,18,4,0,22,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
144e792d-1520-4a38-9b75-34457f7a6b1e,meetingstreetschools,2025-02-12T16:26:21.483707+00:00,22,2,20,0,22,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
4e80edaf-0417-40c0-8727-1a9095562b4d,vaisd,2026-05-21T14:27:27.917428+00:00,22,20,2,0,22,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
12db48e9-d6a6-494c-83c5-33e9f9f6e55b,w-dubuque,2025-02-12T16:54:23.332162+00:00,22,2,20,0,22,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
e3304b87-1c3e-472d-a65c-408ecac29dd1,emsisd,2025-02-12T16:07:45.681294+00:00,21,0,21,0,21,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
b33b31a6-6750-4c08-8397-c8b8210fd72b,nla,2025-05-02T14:43:00.227240+00:00,21,19,2,3,19,3,2,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
6ae0af7d-1532-4fc0-9679-ec3c62a1335f,sharylandisd,2025-02-12T16:43:26.793236+00:00,21,0,21,0,21,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
79dfbb4c-be4a-43e2-8953-7d63785f951c,cmsd12,2025-02-12T16:00:37.717931+00:00,20,4,16,0,20,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
c98813eb-bc93-466d-92d4-70704aa1b00f,merrillschools,2025-02-12T16:26:33.194838+00:00,20,2,18,0,18,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
9e520c07-34d4-4d2d-8e83-4dcfceeea09b,mstm,2025-02-12T16:28:57.779283+00:00,20,2,18,0,20,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
c9f4dba7-e291-4cbb-b810-e078bd2f8b43,urbandaleschools,2025-02-12T16:51:10.941688+00:00,19,1,18,2,19,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
416c0629-99f0-4c8a-a89e-1bf71bdaddd6,Vanco Employees Sandbox,2024-12-13T17:48:25.297995+00:00,19,10,9,1,0,0,1,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
8bf62cd0-b834-4345-bee7-4d539ed37163,wpsd,2025-02-12T16:58:15.861906+00:00,19,1,18,0,19,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
c0881a7a-2b8e-4f1d-8993-5b47516dfa8f,carrolltonhs,2025-02-12T15:56:32.756970+00:00,18,2,16,2,18,0,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
61687001-7a38-405b-8237-a3d1c2ad0da4,isd803,2025-05-29T16:22:54.134910+00:00,18,17,1,0,18,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
a5c955e3-d663-49db-9173-1bd1b10b4dea,kerrvilleisd,2025-02-12T16:19:23.942975+00:00,18,0,18,0,18,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f6dac660-98f7-43d1-9d7a-5c4c20a6f131,pasadenaisd,2025-02-12T16:33:54.204844+00:00,18,0,18,0,18,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
a31cf89c-4650-4f83-8452-da7c1ceec767,springisd,2025-02-12T16:45:50.550068+00:00,18,0,18,0,18,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
21a21f0d-a243-4f6d-a24e-dc070bfc4254,cario,2025-02-12T15:56:15.930001+00:00,17,0,17,0,17,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
47dee2e4-0fc3-4830-906b-a1beb716f09e,eastmountainhigh,2025-02-12T16:06:40.297499+00:00,17,6,11,2,17,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
9b693915-28be-4388-92ee-3ae5266d0b28,vmbulldogs,2025-02-12T16:54:10.778089+00:00,17,1,16,0,17,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
83af3152-03d9-4027-90f5-a123566524b7,wacohi,2025-02-12T16:54:30.291046+00:00,17,0,17,0,17,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
