issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-80502,327169,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-04T20:32:53.269Z,Closed,2026-05-04T20:36:40.598Z,Done,0,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-82446,333681,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-04T15:30:34.232Z,Closed,2026-05-04T20:38:28.097Z,Done,0.21,0.03,yes,yes,,2026-06-10T00:04:52.036Z
OV-82991,336478,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-27T18:35:33.191Z,Closed,2026-05-05T20:02:54.629Z,Done,8.06,1.15,yes,yes,,2026-06-10T00:04:52.036Z
OV-80501,327168,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-22T13:56:11.784Z,Closed,2026-05-05T22:10:59.297Z,Done,13.34,1.91,yes,yes,,2026-06-10T00:04:52.036Z
OV-81010,330876,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-04T20:11:23.019Z,Closed,2026-05-06T15:12:49.042Z,Done,1.79,0.26,yes,yes,,2026-06-10T00:04:52.036Z
OV-80517,327184,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-30T15:33:46.246Z,Closed,2026-05-06T15:13:25.925Z,Done,5.99,0.86,yes,yes,,2026-06-10T00:04:52.036Z
OV-82431,333651,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-05T16:33:07.544Z,Closed,2026-05-06T15:21:36.262Z,Done,0.95,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82436,333661,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-05T16:33:10.176Z,Closed,2026-05-06T15:21:47.074Z,Done,0.95,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82437,333663,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-28T23:00:05.774Z,Closed,2026-05-06T15:21:58.308Z,Done,7.68,1.1,yes,yes,,2026-06-10T00:04:52.036Z
OV-82441,333671,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-28T23:00:08.992Z,Closed,2026-05-06T15:22:12.519Z,Done,7.68,1.1,yes,yes,,2026-06-10T00:04:52.036Z
OV-81144,331335,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-16T15:35:30.334Z,Closed,2026-05-06T15:29:59.503Z,Done,20,2.86,yes,yes,,2026-06-10T00:04:52.036Z
